rm:::::::::::::
ARCHIBUS Data Transfer:::::::::::::
:::::::::::::
AllowInsertions:AllowUpdates:AllowSQLStatements:Restriction:Sort:::::::::
1:1:1:((rm.bl_id='TO_CEN03' ) AND( rm.fl_id='XPTE'  OR  rm.fl_id='XP01')):rm.bl_id:::::::::
:::::::::::::
:::::::::::::
bl_id:fl_id:rm_id:lat:lon:name:area:altezza_locale:length:rm_cat:rm_type:rm_std:dv_id:dp_id
Fabbricato:Piano:Codice Locale:Latitudine:Longitudine:Nome locale:Area Locale:Altezza netta locale (in cm):Perimetro:Categoria  locale:Tipo di locale:Standard  locale:Tipo Struttura:Struttura
TO_CEN03:XP01:L016::::16,75:362:16,7:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L017::::22,37:457:20,5:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L018::::16,75:362:16,7:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L019::::22,45:457:20,6:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L020::::23,02:362:21,7:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L021::::23,64:458:24,5:UFF:UFF_TEC_AM::ARE.:AQUI
TO_CEN03:XP01:L023::::77,18::78,9:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:L024::::24,66::26,5:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:L025::::97,18::82,1:SERV:CORRID::ATU.:ATENEO
TO_CEN03:XP01:L027:0,0000000000000000:0,0000000000000000::9,43::13,7:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L028::::22,31::20,3:UFF:UFF_TEC_AM::ARE.:EDILOG
TO_CEN03:XP01:L029::::23,04::23,9:EST:SCALA_EST::ATU.:AMM
TO_CEN03:XP01:L030::::2,45:304:7,6:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:L031::::2,46:304:6,5:SERV:WC_F::ATU.:AMM
TO_CEN03:XP01:L032::::2,51:304:7,6:SERV:WC_M::ATU.:AMM
TO_CEN03:XP01:L033::::26,24::22,1:EST:SCALA_EST::ATU.:AMM
TO_CEN03:XP01:L120::::6,72::10,6:VERT:ASCENSORE::ATU.:AMM
TO_CEN03:XP01:M000:0,0000000000000000:0,0000000000000000::131,57:367:86,7:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:M001::::33,47:368:24,7:UFF:UFF_TEC_AM::SES.:CORE
TO_CEN03:XP01:M002::::31,29:457:24,1:UFF:UFF_TEC_AM::SES.:CORE
TO_CEN03:XP01:M003:45,0623440000000000:7,6619230000000100:CORE Comunicazione, Eventi e Relazioni con l'Esterno:30,02:457:23,7:UFF:UFF_TEC_AM::SES.:CORE
TO_CEN03:XP01:M004::::29,74:457:23,7:UFF:UFF_TEC_AM:::
TO_CEN03:XP01:M005::::66,96:457:34,8:UFF:UFF_TEC_AM::ARE.:GESD
TO_CEN03:XP01:M006::::22,71::19,5:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XP01:M007::::23,17::20,6:UFF:UFF_TEC_AM::ARE.:SARTT
TO_CEN03:XP01:M008::::20,52::18,9:VERT:SCALA::ATU.:AMM
TO_CEN03:XP01:N000::::188,79:314:100,2:SERV:CORRID::ATU.:AMM
TO_CEN03:XP01:N001:45,0626430000000000:7,6623280000000100:SSSI:14,60:406:15,4:UFF:UFF_TEC_AM::SES.:SIST
TO_CEN03:XP01:N002:0,0000000000000000:0,0000000000000000::41,01:392:28,3:UFF:UFF_TEC_AM::ATU.:AMM
